Index,category index,brand,link
0,0,OnePlus,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3AOnePlus&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_0
1,0,realme,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3Arealme&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_1
2,0,iQOO,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3AiQOO&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_2
3,0,Samsung,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3ASamsung&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_3
4,0,SanDisk,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3ASanDisk&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_4
5,0,Fire-Boltt,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3AFire-Boltt&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_5
6,0,Nokia,https://www.amazon.in/s?bbn=1389401031&rh=n%3A1389401031%2Cp_89%3ANokia&dc&qid=1687369654&rnid=3837712031&ref=lp_1389401031_nr_p_89_6
7,1,Samsung,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3ASamsung&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_0
8,1,SanDisk,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3ASanDisk&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_1
9,1,Ambrane,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3AAmbrane&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_2
10,1,Apple,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3AApple&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_3
11,1,pTron,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3ApTron&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_4
12,1,Portronics,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3APortronics&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_5
13,1,Wayona,https://www.amazon.in/s?bbn=1389402031&rh=n%3A1389402031%2Cp_89%3AWayona&dc&qid=1687369667&rnid=3837712031&ref=lp_1389402031_nr_p_89_6
14,2,Amozo,https://www.amazon.in/s?bbn=1389409031&rh=n%3A1389409031%2Cp_89%3AAmozo&dc&qid=1687369676&rnid=3837712031&ref=lp_1389409031_nr_p_89_0
15,2,TheGiftKart,https://www.amazon.in/s?bbn=1389409031&rh=n%3A1389409031%2Cp_89%3ATheGiftKart&dc&qid=1687369676&rnid=3837712031&ref=lp_1389409031_nr_p_89_1
16,2,BOBO,https://www.amazon.in/s?bbn=1389409031&rh=n%3A1389409031%2Cp_89%3ABOBO&dc&qid=1687369676&rnid=3837712031&ref=lp_1389409031_nr_p_89_2
17,2,Pikkme,https://www.amazon.in/s?bbn=1389409031&rh=n%3A1389409031%2Cp_89%3APikkme&dc&qid=1687369676&rnid=3837712031&ref=lp_1389409031_nr_p_89_3
