Index,Category, Sub-Category, Sub-Sub-Category, Link
0,"Mobiles, Computers","mobiles, tablets &amp; more",All Mobile Phones,https://www.amazon.in/gp/browse.html?node=1389401031&ref_=nav_em_sbc_mobcomp_all_mobiles_0_2_8_2
1,"Mobiles, Computers","mobiles, tablets &amp; more",All Mobile Accessories,https://www.amazon.in/gp/browse.html?node=1389402031&ref_=nav_em_sbc_mobcomp_mobile_acc_0_2_8_3
2,"Mobiles, Computers","mobiles, tablets &amp; more",Cases & Covers,https://www.amazon.in/gp/browse.html?node=1389409031&ref_=nav_em_sbc_mobcomp_mobile_covers_0_2_8_4
3,"Mobiles, Computers","mobiles, tablets &amp; more",Screen Protectors,https://www.amazon.in/gp/browse.html?node=1389425031&ref_=nav_em_sbc_mobcomp_scrn_protector_0_2_8_5
4,"Mobiles, Computers","mobiles, tablets &amp; more",Power Banks,https://www.amazon.in/gp/browse.html?node=6612025031&ref_=nav_em_sbc_mobcomp_powerbank_0_2_8_6
5,"Mobiles, Computers","mobiles, tablets &amp; more",Refurbished & Open Box,https://www.amazon.in/gp/browse.html?node=12497409031&ref_=nav_em_sbc_mobcomp_certfied_refurbished_0_2_8_7
6,"Mobiles, Computers","mobiles, tablets &amp; more",Tablets,https://www.amazon.in/gp/browse.html?node=1375458031&ref_=nav_em_sbc_mobcomp_tablets_0_2_8_8
7,"Mobiles, Computers","mobiles, tablets &amp; more",Wearable Devices,https://www.amazon.in/gp/browse.html?node=11599648031&ref_=nav_em_sbc_mobcomp_wearable_0_2_8_9
8,"Mobiles, Computers","mobiles, tablets &amp; more",Smart Home,https://www.amazon.in/gp/browse.html?node=13773797031&ref_=nav_em_sbc_pc_smarthome_0_2_8_10
9,"Mobiles, Computers","mobiles, tablets &amp; more",Office Supplies & Stationery,https://www.amazon.in/gp/browse.html?node=2454172031&ref_=nav_em_sbc_mobcomp_office_0_2_8_11
10,"Mobiles, Computers","mobiles, tablets &amp; more", Software ,https://www.amazon.in/gp/browse.html?node=976451031&ref_=nav_em_sbc_mobcomp_software_0_2_8_12
11,"Mobiles, Computers",computers &amp; accessories, All Computers & Accessories ,https://www.amazon.in/gp/browse.html?node=976392031&ref_=nav_em_sbc_mobcomp_all_comp_0_2_8_14
